model,accuracy,weighted_precision,weighted_recall,weighted_f1_score
NumPy MLP from scratch,0.6956521739130435,0.8128881987577639,0.6956521739130435,0.6143170838823012
sklearn MLPClassifier,0.6521739130434783,0.4354727398205659,0.6521739130434783,0.5192687747035574
