,precision,recall,f1-score,support
setosa,0.875,1.0,0.9333333333333333,7.0
versicolor,1.0,0.125,0.2222222222222222,8.0
virginica,0.5714285714285714,1.0,0.7272727272727273,8.0
accuracy,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435
macro avg,0.8154761904761904,0.7083333333333334,0.6276094276094276,23.0
weighted avg,0.8128881987577639,0.6956521739130435,0.6143170838823012,23.0
